province,latitude,longitude
Hà Nội,21.0283334,105.854041
Hà Giang,22.8168007,104.9504515
Cao Bằng,22.7426936,106.1060926
Bắc Kạn,22.2728552,105.8564601
Tuyên Quang,22.3382057,105.0715846
Lào Cai,22.3069302,104.1829592
Điện Biên,21.6546566,103.2168632
Lai Châu,22.2921668,103.1798662
Sơn La,21.2276769,104.1575944
Yên Bái,21.8091042,104.5182832
Hoà Bình,20.7090533,105.2576439
Thái Nguyên,21.9610968,105.8440789
Lạng Sơn,21.8487579,106.6140692
Quảng Ninh,21.1718046,107.2012742
Bắc Giang,21.3740092,106.4663176
Phú Thọ,21.3007538,105.1349604
Vĩnh Phúc,18.416893,105.695355
Bắc Ninh,21.3282166,106.4625257
Hải Dương,20.9602884,106.3604393
Hải Phòng,20.8623278,106.6799266
Hưng Yên,20.6065846,106.2843471
Thái Bình,20.4031348,106.5941615
Hà Nam,20.5340294,105.9810248
Nam Định,19.9952624,106.485807
Ninh Bình,20.2421142,105.9746207
Thanh Hóa,19.9781573,105.4816107
Nghệ An,19.1976001,105.060676
Hà Tĩnh,18.3504832,105.7623047
Quảng Bình,17.5157162,106.6225405
Quảng Trị,17.2166964,106.9548246
Thừa Thiên Huế,16.5530473,107.6900375
Đà Nẵng,16.068,108.212
Quảng Nam,11.9537073,108.4306103
Quảng Ngãi,14.9953739,108.691729
Bình Định,14.1086959,109.1145897
Phú Yên,13.1998999,109.2390033
Khánh Hòa,12.2980751,108.9950386
Ninh Thuận,11.4639176,109.1316501
Bình Thuận,10.9685906,108.0032715
Kon Tum,14.6995372,107.9323831
Gia Lai,14.0201373,108.6354524
Đắk Lắk,12.8741856,108.7979302
Đắk Nông,12.2807367,107.742636
Lâm Đồng,11.6614957,108.1335279
Bình Phước,11.8000378,106.9151381
Tây Ninh,11.0800527,106.2610531
Bình Dương,11.1826157,106.6738179
Đồng Nai,11.4285446,107.1624245
Bà Rịa - Vũng Tàu,10.3496725,107.0860877
Hồ Chí Minh,10.7755254,106.7021047
Long An,10.480828,107.2008562
Tiền Giang,10.7803737,105.3031732
Bến Tre,9.8837431,106.7340154
Trà Vinh,9.5815192,106.5307116
Vĩnh Long,10.046765,106.2947443
Đồng Tháp,10.425183,105.9271362
An Giang,10.3188672,105.0432488
Kiên Giang,9.7667502,104.4726437
Cần Thơ,10.0362046,105.7872656
Hậu Giang,9.7881262,105.6390398
Sóc Trăng,9.3203771,106.1059371
Bạc Liêu,8.8961366,105.6969598
Cà Mau,9.0180177,105.0869724
